date,abs_error
2020-05-31,11800.471842447916
2020-05-20,10702.614095052084
2019-10-02,10478.060709635416
2020-06-10,8639.32373046875
2020-04-09,8436.322428385416
2020-04-30,7474.1708984375
2019-09-29,4751.303548177083
2020-04-12,4734.15478515625
2019-12-25,4230.142578125
2020-04-02,4087.82568359375
