Model,RMSE,MAE,MAPE
Naive,8993.080031313611,6792.20902210715,0.1293431828017051
Ridge,5016.674793660028,3948.1607998866107,0.07552026032602471
RandomForest,2258.2168216965033,1475.353106989259,0.028750519309542304
XGBoost,2238.995473788853,1482.1566028150519,0.029087002010692403
